PARAMCD,PARAM,LINE,SETTING,SURR_FOR,SURR_STRENGTH,START_VAR,END_DOMAINS,EVENT_CODES,CNSR_RULE
OS,Overall Survival,1,ES,,,TRTSDT,ADAE,DEATH,OS_DEFAULT
PFS1L,Progression-Free Survival (1L ES-SCLC),1,ES,OS,STRONG,TRTSDT,ADRESP|ADAE,PD|DEATH,PFS_IO
TTP1L,Time to Progression (1L LS-SCLC CRT),1,LS,OS,STRONG,TRTSDT,ADRESP,PD_LOCAL|PD_DISTANT,TTP_CRT
OS2,Overall Survival from 2L,2,ES,,,DT2L_START,ADAE,DEATH,OS_DEFAULT
TTBM,Time to Brain Metastasis,1,ES,PFS,EXPLORATORY,TRTSDT,ADRESP|ADAE,CNS_EVENT|BRAIN_MET,TTBM_RULE
